iter	Passed	Remaining
0	2	2223
1	5	2641
2	8	2712
3	10	2617
4	12	2563
5	15	2502
6	17	2511
7	20	2511
8	23	2542
9	25	2531
10	27	2505
11	30	2476
12	32	2466
13	36	2567
14	38	2521
15	40	2460
16	41	2411
17	43	2365
18	45	2339
19	47	2304
20	48	2279
21	52	2324
22	54	2295
23	56	2279
24	57	2251
25	59	2223
26	60	2195
27	62	2170
28	66	2238
29	69	2246
30	71	2229
31	72	2204
32	75	2201
33	76	2184
34	78	2168
35	81	2195
36	83	2181
37	85	2163
38	87	2145
39	88	2128
40	90	2113
41	92	2100
42	94	2108
43	98	2132
44	100	2126
45	102	2126
46	104	2127
47	107	2126
48	110	2139
49	113	2151
50	115	2152
51	117	2139
52	119	2128
53	120	2116
54	122	2112
55	126	2127
56	128	2119
57	129	2107
58	131	2098
59	133	2090
60	135	2078
61	136	2068
62	138	2067
63	141	2075
64	143	2066
65	145	2055
66	146	2044
67	148	2034
68	149	2023
69	152	2024
70	155	2032
71	157	2031
72	159	2023
73	161	2017
74	162	2008
75	164	1999
76	166	1990
77	167	1983
78	170	1988
79	172	1989
80	174	1981
81	176	1972
82	176	1955
83	178	1947
84	180	1947
85	182	1941
86	185	1942
87	187	1942
88	189	1935
89	190	1929
90	192	1922
91	194	1915
92	195	1909
93	197	1902
94	200	1910
95	202	1908
96	204	1901
97	205	1894
98	207	1887
99	209	1885
100	211	1880
101	212	1873
102	215	1876
103	217	1874
104	219	1872
105	221	1866
106	222	1860
107	225	1859
108	226	1854
109	228	1851
110	231	1856
111	233	1854
112	235	1849
113	237	1846
114	239	1843
115	241	1837
116	242	1829
117	244	1825
118	246	1827
119	248	1823
120	250	1818
121	251	1810
122	253	1809
123	255	1804
124	257	1801
125	260	1809
126	262	1802
127	264	1799
128	265	1794
129	267	1793
130	269	1788
131	271	1783
132	272	1778
133	275	1780
134	278	1781
135	279	1776
136	282	1776
137	283	1772
138	285	1768
139	287	1764
140	288	1760
141	291	1758
142	292	1754
143	294	1750
144	297	1753
145	299	1752
146	303	1759
147	306	1765
148	309	1769
149	312	1768
150	314	1766
151	315	1762
152	318	1760
153	320	1761
154	322	1757
155	325	1761
156	327	1761
157	329	1756
158	331	1754
159	334	1756
160	335	1749
161	337	1746
162	339	1742
163	341	1740
164	343	1736
165	344	1731
166	346	1728
167	348	1727
