iter	Passed	Remaining
0	137	137546
1	139	69797
2	142	47276
3	143	35854
4	145	29014
5	147	24505
6	150	21339
7	152	18880
8	153	16952
9	155	15418
10	157	14164
11	159	13144
12	161	12270
13	164	11574
14	166	10932
15	168	10355
16	170	9865
17	172	9397
18	173	8979
19	175	8603
20	178	8308
21	180	8017
22	182	7753
23	184	7498
24	186	7265
25	188	7048
26	190	6853
27	191	6661
28	193	6490
29	195	6326
30	197	6186
31	199	6047
32	201	5913
33	203	5794
34	205	5671
35	207	5546
36	208	5434
37	210	5339
38	213	5251
39	215	5162
40	217	5076
41	219	5001
42	220	4911
43	222	4842
44	224	4769
45	226	4696
46	227	4620
47	229	4552
48	231	4492
49	234	4447
50	236	4394
51	238	4342
52	240	4293
53	242	4240
54	243	4188
55	245	4141
56	247	4096
57	249	4049
58	251	4005
59	252	3961
60	254	3920
61	256	3882
62	258	3842
63	259	3800
64	262	3769
65	263	3732
66	265	3699
67	266	3653
68	268	3619
69	269	3586
70	271	3555
71	273	3524
72	275	3494
73	277	3467
74	278	3436
75	280	3406
76	281	3377
77	283	3350
78	285	3325
79	286	3300
80	288	3274
81	290	3252
82	292	3227
83	293	3202
84	294	3173
85	296	3150
86	297	3124
87	299	3102
88	301	3081
89	302	3059
90	304	3046
91	307	3036
92	309	3023
93	312	3011
94	314	2999
95	316	2983
96	318	2968
97	320	2951
98	322	2933
99	323	2914
100	325	2896
101	326	2872
102	327	2855
103	329	2842
104	331	2829
105	333	2812
106	335	2796
107	336	2780
108	338	2764
109	339	2748
110	341	2736
111	343	2721
112	344	2706
113	346	2693
114	348	2685
115	350	2672
116	352	2660
117	354	2652
118	356	2641
119	358	2631
120	361	2627
121	363	2618
122	364	2602
123	366	2589
124	367	2575
125	369	2563
126	371	2551
127	372	2536
128	374	2526
129	375	2516
130	377	2504
131	379	2493
132	380	2481
133	382	2470
134	384	2461
135	385	2451
136	387	2440
137	389	2429
138	390	2420
139	392	2409
140	394	2401
141	395	2391
142	397	2380
143	398	2370
144	400	2361
145	402	2352
146	404	2345
147	406	2339
148	408	2330
149	409	2321
150	411	2311
151	412	2302
152	414	2295
153	416	2287
154	418	2280
155	419	2271
156	421	2264
157	423	2256
158	425	2249
159	426	2241
160	428	2233
161	430	2224
162	432	2219
163	434	2215
164	436	2208
165	438	2200
166	439	2193
167	441	2184
168	442	2177
169	444	2169
170	446	2162
171	447	2156
172	449	2148
173	451	2141
174	452	2134
175	454	2127
176	455	2119
177	457	2113
178	459	2106
179	461	2104
180	463	2095
181	465	2090
182	466	2083
183	468	2078
184	470	2071
185	471	2064
186	473	2058
187	475	2051
188	476	2045
189	478	2038
190	479	2032
191	481	2026
192	483	2019
193	484	2013
194	486	2006
195	487	2000
196	489	1996
197	491	1990
198	493	1984
199	494	1978
200	496	1972
201	497	1966
202	499	1960
203	501	1955
204	503	1951
205	504	1945
206	506	1940
207	508	1935
208	509	1929
209	511	1926
210	513	1920
211	515	1914
212	516	1909
213	518	1903
214	520	1898
215	521	1893
216	523	1888
217	524	1882
218	526	1877
219	527	1871
220	529	1866
221	531	1861
222	532	1856
223	534	1851
224	536	1846
225	537	1841
226	539	1836
227	540	1830
228	542	1825
229	544	1821
230	545	1816
231	547	1811
232	548	1806
233	550	1801
234	552	1797
235	553	1792
236	555	1788
237	557	1783
238	559	1780
239	560	1776
240	562	1771
241	564	1767
242	566	1764
243	567	1759
244	569	1754
245	571	1750
246	572	1745
247	574	1741
248	576	1738
249	577	1733
250	579	1728
251	580	1724
252	582	1720
253	584	1716
254	586	1712
255	588	1709
256	589	1705
257	591	1701
258	593	1696
259	594	1692
260	596	1688
261	598	1685
262	599	1681
263	601	1678
264	603	1675
265	605	1671
266	607	1667
267	609	1664
268	611	1660
269	612	1656
270	614	1652
271	615	1648
272	617	1644
273	619	1641
274	621	1637
275	623	1635
